City,Region,Month,Year,Rainfall(mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph),Heat Index(max),Heat index(min),Heat index(mean),Heat  Wave
Nizamabad,Plain,April,2022,0.02149425287,25.02862069,40.23126437,24.40425287,72.41011494,0.04,6.602528736,77.19785433,25.17025195,51.18405314,1
Nizamabad,Plain,May,2022,0.99810901,27.00656285,40.16129032,27.41624027,67.73047831,0.05642458101,9.764581006,71.68178634,26.15667671,48.91923152,1
Nizamabad,Plain,June,2022,4.618735632,25.65448276,36.61344828,44.95114943,84.41632184,0.03425287356,10.26574713,63.86812137,24.64891695,44.25851916,1
Nizamabad,Plain,July,2022,30.97864294,23.26985539,30.11034483,77.07441602,98.61646274,0.2639599555,8.967074527,3.804536314,3.838090523,3.821313418,0
Nizamabad,Plain,August,2022,4.475083426,23.89521691,32.37541713,69.35494994,98.12369299,0.1419175028,8.621850613,50.70261667,22.35592459,36.52927063,0
Nizamabad,Plain,September,2022,10.04356322,23.09402299,32.55827586,70.06402299,98.75011494,0.06512702079,7.359006928,42.91541515,18.69076758,30.80309136,0
Khammam,Hilly,January,2022,0.9594470046,18.36912442,31.55576037,51.06743472,97.39201229,0.004301075269,6.952380952,51.07736822,25.67213692,38.37475257,1
Khammam,Hilly,February,2022,0,11.21428571,36.70357143,13.31071429,100,0,64.85714286,101.7661948,19.20893543,60.4875651,1
Khammam,Hilly,March,2022,0.02826420891,21.86113671,37.32596006,34.86374808,96.04347158,0.02488479263,7.044700461,85.14577727,24.80977838,54.97777782,1
Khammam,Hilly,April,2022,0.05761904762,25.43507937,38.91190476,40.3852381,95.33460317,0.0173015873,8.101111111,95.63657593,25.89109669,60.76383631,1
Khammam,Hilly,May,2022,0.9402457757,26.83563748,39.94439324,37.29631336,86.91848998,0.0961102107,11.53435981,91.83733643,26.38415369,59.11074506,1
Khammam,Hilly,June,2022,3.903333333,26.67793651,38.16809524,44.50793651,88.22222222,0.02645590682,11.02878536,76.97889492,25.50172431,51.24030962,1
Khammam,Hilly,July,2022,12.46144393,24.68709677,32.24347158,72.17296467,98.12549923,0.1140728477,9.920860927,38.29871333,17.72265574,28.01068453,0
Khammam,Hilly,August,2022,6.753149002,24.97465438,33.71551459,66.17619048,97.58079877,0.025,9.055483871,53.81938693,22.17896125,37.99917409,1
Khammam,Hilly,September,2022,5.199206349,24.62793651,33.58571429,69.69507937,98.82365079,0.01193277311,7.910756303,56.00743143,22.46451641,39.23597392,1
Karimnagar,Plain,January,2022,1.833266129,17.12197581,29.08629032,51.74556452,95.55967742,0.007862903226,6.558669355,38.37047069,26.37458842,32.37252955,0
Karimnagar,Plain,February,2022,0,11.21428571,36.70357143,13.31071429,100,0,64.85714286,101.7661948,19.20893543,60.4875651,1
Karimnagar,Plain,March,2022,0,21.40564516,36.43165323,33.30866935,89.35020161,0.05181451613,6.750806452,72.97086269,24.73360174,48.85223222,1
Karimnagar,Plain,April,2022,0.03083333333,25.025,39.10270833,34.44916667,83.81416667,0.175,8.195625,83.56593197,25.56257036,54.56425117,1
Karimnagar,Plain,May,2022,0.56875,27.49858871,40.26028226,29.69576613,72.26129032,0.1968487395,10.33109244,77.41827937,26.65117518,52.03472728,1
Karimnagar,Plain,June,2022,6.158125,26.75104167,37.42520833,42.64875,80.37791667,0.1083333333,11.9925,63.16061689,24.82099393,43.99080541,1
Karimnagar,Plain,July,2022,22.25826613,23.91068548,30.61048387,74.31935484,97.04616935,0.4266129032,10.82298387,18.11411927,10.64007717,14.37709822,0
Karimnagar,Plain,August,2022,5.436290323,24.87177419,32.29858871,68.38467742,95.69778226,0.1580645161,9.354637097,47.99778545,22.68991918,35.34385232,0
Karimnagar,Plain,September,2022,6.964791667,24.02729167,32.39041667,70.43966597,96.80854167,0.05669456067,8.288284519,46.33728471,20.86632891,33.60180681,0
ADILABAD,Hilly,January,2020,0.799462366,15.58691756,28.46827957,51.51810036,93.19193548,6.796167883,0,35.01661833,29.56899292,32.29280562,1
ADILABAD,Hilly,February,2020,0.134291188,16.52701149,31.29157088,39.10498084,83.79885057,7.786781609,0,43.17712428,28.36533278,35.77122853,1
ADILABAD,Hilly,March,2020,1.07688172,20.84139785,35.37741935,34.20412186,84.17293907,8.658243728,0,59.77705353,26.30970366,43.04337859,1
ADILABAD,Hilly,April,2020,0.560740741,24.32185185,38.9087037,24.0362963,66.05222222,8.426296296,0,62.59560638,26.33404491,44.46482564,1
ADILABAD,Hilly,May,2020,0.49139785,28.03637993,41.37401434,21.14551971,55.64390681,7.796236559,0,63.84012662,28.16888672,46.00450667,1
ADILABAD,Hilly,June,2020,4.806296296,25.67407407,35.26018519,51.79611111,87.57259259,8.382527881,0.234386617,56.28995299,26.27533539,41.28264419,1
ADILABAD,Hilly,July,2020,11.30842294,24.78736559,32.89874552,68.68530466,96.11818996,5.61702509,0.131003584,39.5964786,20.4419429,30.01921075,1
ADILABAD,Hilly,August,2020,8.288530466,24.18996416,29.9359319,76.91021505,95.47464158,5.278315412,0.291039427,31.56485788,20.48752406,26.02619097,0
ADILABAD,Hilly,September,2020,5.232037037,24.37351852,32.72888889,69.475,96.22037037,4.114694656,0.058778626,47.9851181,23.23678711,35.61095261,1
ADILABAD,Hilly,October,2020,2.048028674,22.23512545,32.5953405,58.82616487,94.14498208,0.088671875,4.266601563,52.1743251,23.80034887,37.98733699,1
ADILABAD,Hilly,November,2020,0.152037037,16.85981481,31.27055556,42.26685185,88.11,0.067635659,4.102325581,45.92289341,26.85572707,36.38931024,1
ADILABAD,Hilly,December,2020,0.000358423,13.22060932,30.33512545,35.88996416,86.93261649,0.044623656,3.901612903,41.99287899,29.24159382,35.61723641,1
ADILABAD,Hilly,January,2021,0.010035842,15.5453405,31.46021505,39.52455197,87.78978495,0.04390681,4.537634409,46.84797531,27.68297661,37.26547596,1
ADILABAD,Hilly,February,2021,0.082738095,14.43035714,32.2234127,25.8843254,74.94761905,0.095238095,5.866468254,44.43578258,25.30311524,34.86944891,1
ADILABAD,Hilly,March,2021,0.01702509,20.20609319,36.55268817,18.76648746,59.77956989,0.122043011,7.724551971,51.64068678,23.05932543,37.3500061,1
ADILABAD,Hilly,April,2021,0.301111111,24.27796296,38.80111111,19.11537037,57.31944444,0.143148148,9.020740741,57.81937531,24.55385454,41.18661492,1
ADILABAD,Hilly,May,2021,0.841725768,26.73368794,38.32044917,19.65425532,44.13262411,0.146217494,5.968321513,47.03018672,25.84051877,36.43535274,1
ADILABAD,Hilly,June,2021,10.62407407,24.50148148,33.50574074,54.86759259,89.47407407,0.095555556,6.043888889,42.53552955,21.29088201,31.91320578,1
ADILABAD,Hilly,July,2021,14.513,24.58261649,31.68835125,68.57311828,93.81541219,0.087096774,4.492293907,30.63437861,17.13678522,23.88558192,0
ADILABAD,Hilly,August,2021,8.47078853,24.23315412,31.52311828,67.29265233,94.28781362,0.071863799,5.01827957,38.56701454,20.58164644,29.57433049,0
